                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.95454,                0.56967,                 1.0208,                0.96645,                0.89472,                0.93078,                0.64664,                  1.015,                0.48458,                 1.0522,               0.005644,               0.005644,               0.005644
                     90,                0.94802,                0.55661,                 1.0217,                0.96481,                0.89609,                 0.9309,                 0.6492,                 1.0112,                0.48366,                 1.0518,              0.0055945,              0.0055945,              0.0055945
                     91,                0.94513,                0.55117,                 1.0169,                0.96601,                0.89832,                0.93273,                0.64835,                 1.0123,                0.48572,                 1.0541,               0.005545,               0.005545,               0.005545
                     92,                0.94494,                0.55241,                 1.0147,                0.96295,                0.89597,                0.92993,                0.64888,                  1.012,                0.48576,                 1.0537,              0.0054955,              0.0054955,              0.0054955
                     93,                0.93787,                0.55689,                 1.0108,                0.96129,                0.89502,                0.92989,                0.64725,                 1.0124,                0.48641,                 1.0546,               0.005446,               0.005446,               0.005446
                     94,                0.92892,                0.55685,                 1.0086,                0.96398,                0.89862,                0.93076,                0.64864,                 1.0093,                0.48379,                  1.054,              0.0053965,              0.0053965,              0.0053965
                     95,                0.94127,                0.55288,                 1.0187,                0.96439,                0.89454,                0.93011,                0.64846,                 1.0082,                0.48503,                 1.0535,               0.005347,               0.005347,               0.005347
                     96,                0.93642,                0.55097,                 1.0122,                0.96305,                0.89906,                0.93169,                0.64648,                 1.0108,                0.48242,                 1.0539,              0.0052975,              0.0052975,              0.0052975
                     97,                0.94442,                0.55663,                 1.0111,                0.96811,                0.89524,                0.93306,                0.64768,                 1.0078,                0.47846,                 1.0546,               0.005248,               0.005248,               0.005248
                     98,                0.93418,                0.55866,                 1.0126,                  0.964,                0.89875,                0.93207,                  0.647,                 1.0072,                0.47938,                 1.0532,              0.0051985,              0.0051985,              0.0051985
                     99,                0.92617,                0.54313,                 1.0103,                 0.9608,                0.90215,                0.93014,                0.64624,                 1.0087,                0.47961,                  1.054,               0.005149,               0.005149,               0.005149
                    100,                 0.9365,                0.57603,                 1.0122,                0.96046,                0.90129,                0.92956,                0.64603,                 1.0099,                0.48048,                 1.0558,              0.0050995,              0.0050995,              0.0050995
                    101,                0.93666,                0.55661,                 1.0155,                0.96114,                0.89986,                0.93136,                0.64709,                   1.01,                0.48367,                 1.0558,                0.00505,                0.00505,                0.00505
                    102,                0.92047,                0.54489,                 1.0123,                0.96052,                0.90253,                0.93089,                0.64842,                 1.0091,                0.48208,                 1.0553,              0.0050005,              0.0050005,              0.0050005
                    103,                 0.9082,                 0.5367,                 1.0039,                 0.9594,                0.90053,                0.93109,                0.64894,                 1.0107,                0.48393,                 1.0564,               0.004951,               0.004951,               0.004951
                    104,                0.91503,                0.56488,                 1.0159,                0.95925,                0.90205,                0.93205,                0.64897,                  1.009,                0.48194,                 1.0542,              0.0049015,              0.0049015,              0.0049015
                    105,                0.90938,                0.52889,                 1.0018,                0.96683,                0.89241,                0.93105,                0.64764,                 1.0089,                0.47961,                 1.0524,               0.004852,               0.004852,               0.004852
                    106,                0.90522,                0.53001,                0.99982,                0.96595,                0.89298,                 0.9302,                0.64794,                 1.0097,                0.47928,                 1.0526,              0.0048025,              0.0048025,              0.0048025
